Source,SiteName,NumericLevel,TripLevelID,AlertType,Measurement,Limit
Hilltop,Makakahi at Hamua,2.0,200,RIVER HEIGHTS,Stage [Water Level],200
Hilltop,Makakahi at Hamua,2.5,250,RIVER HEIGHTS,Stage [Water Level],250
Hilltop,Makakahi at Hamua,3.0,300,RIVER HEIGHTS,Stage [Water Level],300
Hilltop,Makakahi at Hamua,4.0,400,RIVER HEIGHTS,Stage [Water Level],400
Hilltop,Makakahi at Hamua,4.5,450,RIVER HEIGHTS,Stage [Water Level],450
Hilltop,Makino at Boness Road,4.0,400,RIVER HEIGHTS,Stage [Water Level],400
Hilltop,Makino at Boness Road,3.0,300,RIVER HEIGHTS,Stage [Water Level],300
Hilltop,Makino at Reids Line,1.5,150,RIVER HEIGHTS,Stage [Water Level],150
Hilltop,Makino at Reids Line,1.7,170,RIVER HEIGHTS,Stage [Water Level],170
Hilltop,Makino at Reids Line,1.9,190,RIVER HEIGHTS,Stage [Water Level],190
Hilltop,Makino at Reids Line,2.1,210,RIVER HEIGHTS,Stage [Water Level],210
Hilltop,Manawatu at Hopelands,4.5,450,RIVER HEIGHTS,Stage [Water Level],450
Hilltop,Manawatu at Hopelands,5.5,550,RIVER HEIGHTS,Stage [Water Level],550
Hilltop,Manawatu at Moutoa,7.0,700,RIVER HEIGHTS,Stage [Water Level],700
Hilltop,Manawatu at Moutoa,7.5,750,RIVER HEIGHTS,Stage [Water Level],750
Hilltop,Manawatu at Moutoa,8.4,840,RIVER HEIGHTS,Stage [Water Level],840
Hilltop,Manawatu at Teachers College,3.0,300,RIVER HEIGHTS,Stage [Water Level],300
Hilltop,Manawatu at Teachers College,3.5,350,RIVER HEIGHTS,Stage [Water Level],350
Hilltop,Manawatu at Teachers College,3.8,380,RIVER HEIGHTS,Stage [Water Level],380
Hilltop,Manawatu at Teachers College,4.0,400,RIVER HEIGHTS,Stage [Water Level],400
Hilltop,Manawatu at Teachers College,4.1,410,RIVER HEIGHTS,Stage [Water Level],410
Hilltop,Manawatu at Teachers College,4.2,420,RIVER HEIGHTS,Stage [Water Level],420
Hilltop,Manawatu at Teachers College,4.8,480,RIVER HEIGHTS,Stage [Water Level],480
Hilltop,Manawatu at Teachers College,4.9,490,RIVER HEIGHTS,Stage [Water Level],490
Hilltop,Manawatu at Teachers College,5.5,550,RIVER HEIGHTS,Stage [Water Level],550
Hilltop,Manawatu at Teachers College,6.0,600,RIVER HEIGHTS,Stage [Water Level],600
Hilltop,Manawatu at Teachers College,6.5,650,RIVER HEIGHTS,Stage [Water Level],650
Hilltop,Manawatu at Teachers College,7.55,755,RIVER HEIGHTS,Stage [Water Level],755
Hilltop,Manawatu at Teachers College,8.55,855,RIVER HEIGHTS,Stage [Water Level],855
Hilltop,Manawatu at Upper Gorge,4.0,400,RIVER HEIGHTS,Stage [Water Level],400
Hilltop,Manawatu at Upper Gorge,5.0,500,RIVER HEIGHTS,Stage [Water Level],500
Hilltop,Manawatu at Upper Gorge,6.0,600,RIVER HEIGHTS,Stage [Water Level],600
Hilltop,Manawatu at Upper Gorge,7.0,700,RIVER HEIGHTS,Stage [Water Level],700
Hilltop,Manawatu at Upper Gorge,8.0,800,RIVER HEIGHTS,Stage [Water Level],800
Hilltop,Manawatu at Upper Gorge,9.0,900,RIVER HEIGHTS,Stage [Water Level],900
Hilltop,Manawatu at Upper Gorge,10.0,1000,RIVER HEIGHTS,Stage [Water Level],1000
Hilltop,Manawatu at Upper Gorge,11.0,1100,RIVER HEIGHTS,Stage [Water Level],1100
Hilltop,Manawatu at Upper Gorge,12.0,1200,RIVER HEIGHTS,Stage [Water Level],1200
Hilltop,Manawatu at Weber Road,4.0,400,RIVER HEIGHTS,Stage [Water Level],400
Hilltop,Manawatu at Weber Road,5.2,520,RIVER HEIGHTS,Stage [Water Level],520
Hilltop,Manawatu at Weber Road,6.0,600,RIVER HEIGHTS,Stage [Water Level],600
Hilltop,Manawatu at Weber Road,7.0,700,RIVER HEIGHTS,Stage [Water Level],700
Hilltop,Mangahao at Ballance,2.4,240,RIVER HEIGHTS,Stage [Water Level],240
Hilltop,Mangahao at Ballance,2.5,250,RIVER HEIGHTS,Stage [Water Level],250
Hilltop,Mangahao at Kakariki,1.8,180,RIVER HEIGHTS,Stage [Water Level],180
